gene_id,ERR4198627,ERR4198629,ERR4198630,ERR4198632,ERR4198634,ERR4198636,ERR4198638,ERR4198640,ERR4198642
ENSG00000074800.16|ENO1,308375,42391,92425,113125,99385,134004,8348,5728,8868
ENSG00000201725.1|RNU6-304P,0,0,0,0,0,2,0,0,0
ENSG00000232208.2|ENSG00000232208,0,0,1,3,0,3,0,0,1
ENSG00000232663.2|ENSG00000232663,0,0,0,0,0,0,0,0,0
ENSG00000131686.15|CA6,0,0,0,0,0,6,0,0,0
ENSG00000197241.4|SLC2A7,0,0,0,4,2,0,0,0,0
ENSG00000142583.18|SLC2A5,0,0,2,7,0,38,0,5,13
ENSG00000252404.1|ENSG00000252404,0,0,0,0,0,0,0,0,0
ENSG00000049239.13|H6PD,7923,4093,4606,838,2061,5784,719,1430,1038
ENSG00000171621.14|SPSB1,603,152,168,68,137,487,44,90,53
ENSG00000284693.2|LINC02606,227,81,67,52,63,242,76,50,91
ENSG00000252956.1|RNA5SP40,0,0,0,0,0,0,0,0,0
ENSG00000235263.1|ENSG00000235263,0,0,0,0,0,0,0,0,0
ENSG00000188807.13|TMEM201,2494,1166,1663,477,581,2667,195,500,291
ENSG00000179840.5|PIK3CD-AS1,0,0,0,0,0,3,0,0,0
ENSG00000233268.3|ENSG00000233268,0,0,0,0,0,0,0,0,0
ENSG00000171608.17|PIK3CD,543,350,115,118,311,804,69,149,137
ENSG00000271264.1|MZT1P1,0,0,0,0,0,0,0,0,0
ENSG00000223989.1|ENSG00000223989,0,2,1,0,0,0,0,0,1
ENSG00000285701.1|ENSG00000285701,0,0,0,2,0,0,0,0,0
ENSG00000283611.2|TMEM274P,0,0,0,0,0,0,0,0,0
ENSG00000241326.1|ENSG00000241326,0,0,0,0,0,0,0,0,0
ENSG00000162444.12|RBP7,14,18,13,0,0,14,0,4,0
ENSG00000224340.1|ENSG00000224340,0,0,0,0,0,3,0,0,0
ENSG00000201746.1|RNU6-828P,0,1,0,1,0,2,0,4,0
ENSG00000264881.1|ENSG00000264881,0,0,1,1,1,2,0,3,0
ENSG00000284735.1|ENSG00000284735,0,0,6,3,3,11,4,14,0
ENSG00000284642.1|ENSG00000284642,48,24,30,33,34,183,30,183,85
ENSG00000142657.21|PGD,33076,7728,15220,5394,4766,21100,3465,3091,5058
ENSG00000251503.8|CENPS-CORT,195,61,178,0,18,86,12,12,14
ENSG00000287727.1|ENSG00000287727,0,0,0,0,0,2,0,0,0
ENSG00000130940.15|CASZ1,4707,815,2678,369,322,2633,275,154,472
ENSG00000221083.1|ENSG00000221083,4,1,1,3,0,7,0,4,1
ENSG00000234619.1|RPL7P11,4,2,5,5,3,5,0,7,0
ENSG00000224315.2|RPL7P7,17,14,12,8,11,50,11,113,9
ENSG00000222511.2|Y_RNA,2,1,2,3,3,2,2,19,3
ENSG00000228423.2|ENSG00000228423,15,11,11,12,9,50,1,46,1
ENSG00000274258.1|MIR6728,18,4,9,10,8,15,0,2,0
ENSG00000230679.1|ENO1-AS1,18,2,15,14,10,27,0,4,6
ENSG00000238249.2|HMGN2P17,370,174,389,78,64,247,35,22,49
ENSG00000265141.2|RN7SL451P,26,3,1,6,3,6,2,0,3
ENSG00000180758.12|GPR157,532,146,311,122,84,581,38,71,28
ENSG00000228526.7|MIR34AHG,719,309,691,414,269,1961,126,336,69
ENSG00000284357.1|MIR34A,1,1,1,1,1,1,1,1,1
ENSG00000234546.5|LNCTAM34A,274,102,197,53,37,300,61,99,18
ENSG00000284652.1|ENSG00000284652,34,10,16,17,11,21,13,10,12
ENSG00000171612.7|SLC25A33,3911,1235,2626,723,782,1680,401,197,719
ENSG00000231181.1|ENSG00000231181,47,15,17,11,11,43,3,21,2
ENSG00000231789.3|PIK3CD-AS2,317,65,93,21,27,155,6,0,3
ENSG00000171603.18|CLSTN1,21061,8203,9313,3779,5605,19874,4103,6471,9215
ENSG00000280113.2|ENSG00000280113,5,0,2,1,1,15,3,13,4
ENSG00000178585.15|CTNNBIP1,10291,3906,4416,1070,1250,5075,849,750,1578
ENSG00000162441.12|LZIC,5817,3193,4923,1634,1837,5483,1486,1430,2320
ENSG00000228150.1|ENSG00000228150,14,8,9,5,3,17,1,7,6
ENSG00000173614.14|NMNAT1,2250,755,1044,375,305,1088,211,248,303
ENSG00000202415.1|RN7SKP269,34,9,7,2,6,21,0,13,2
ENSG00000265521.1|MIR5697,2,3,0,0,1,1,0,2,1
